\PL_NAME='WASP-33 b'
\SPEC_TYPE='Eclipse'
\INSTRUMENT='Wide Field Camera 3'
\FACILITY='Hubble Space Telescope satellite'
\NOTE='Table 7'
\REFERENCE='Haynes et al. 2015'
|CENTRALWAVELNG|BANDWIDTH|ESPECLIPDEP|ESPECLIPDEPERR1|ESPECLIPDEPERR2|ESPECLIPDEPLIM|ESPBRITEMP|ESPBRITEMPERR1|ESPBRITEMPERR2|ESPBRITEMPLIM|OBS_DATE|OBS_DATEERR1|OBS_DATEERR2|
|        double|   double|     double|         double|         double|          long|    double|        double|        double|         long|  double|      double|      double|
|       microns|  microns|          %|               |               |              |         K|              |              |             |    days|        days|        days|
|          null|     null|       null|           null|           null|          null|      null|          null|          null|         null|    null|        null|        null|
          1.469      null       0.129         0.00681        -0.00681              0       null           null           null             0     null         null         null 
          1.474      null        0.13         0.00695        -0.00695              0       null           null           null             0     null         null         null 
          1.478      null       0.132         0.00678        -0.00678              0       null           null           null             0     null         null         null 
          1.483      null       0.145         0.00699        -0.00699              0       null           null           null             0     null         null         null 
          1.488      null       0.152         0.00903        -0.00903              0       null           null           null             0     null         null         null 
          1.493      null       0.138         0.00817        -0.00817              0       null           null           null             0     null         null         null 
          1.497      null       0.134         0.00767        -0.00767              0       null           null           null             0     null         null         null 
          1.502      null       0.136         0.00735        -0.00735              0       null           null           null             0     null         null         null 
          1.507      null       0.149         0.00835        -0.00835              0       null           null           null             0     null         null         null 
          1.511      null       0.127         0.00764        -0.00764              0       null           null           null             0     null         null         null 
          1.516      null       0.111         0.00764        -0.00764              0       null           null           null             0     null         null         null 
          1.521      null       0.121         0.00736        -0.00736              0       null           null           null             0     null         null         null 
          1.525      null       0.125         0.00708        -0.00708              0       null           null           null             0     null         null         null 
           1.53      null        0.13         0.00805        -0.00805              0       null           null           null             0     null         null         null 
          1.535      null       0.125         0.00783        -0.00783              0       null           null           null             0     null         null         null 
           1.54      null       0.107         0.00791        -0.00791              0       null           null           null             0     null         null         null 
          1.544      null       0.146         0.00747        -0.00747              0       null           null           null             0     null         null         null 
          1.549      null       0.128         0.00763        -0.00763              0       null           null           null             0     null         null         null 
          1.554      null       0.134         0.00809        -0.00809              0       null           null           null             0     null         null         null 
          1.558      null       0.156         0.00917        -0.00917              0       null           null           null             0     null         null         null 
          1.563      null       0.117         0.00839        -0.00839              0       null           null           null             0     null         null         null 
          1.568      null       0.124         0.00805        -0.00805              0       null           null           null             0     null         null         null 
          1.573      null       0.145         0.00924        -0.00924              0       null           null           null             0     null         null         null 
          1.577      null       0.122         0.00905        -0.00905              0       null           null           null             0     null         null         null 
          1.582      null      0.0993         0.00919        -0.00919              0       null           null           null             0     null         null         null 
          1.587      null       0.138         0.00796        -0.00796              0       null           null           null             0     null         null         null 
          1.591      null       0.176          0.0123         -0.0123              0       null           null           null             0     null         null         null 
          1.596      null       0.145          0.0101         -0.0101              0       null           null           null             0     null         null         null 
          1.601      null       0.114         0.00829        -0.00829              0       null           null           null             0     null         null         null 
          1.606      null      0.0889         0.00916        -0.00916              0       null           null           null             0     null         null         null 
           1.61      null       0.123          0.0115         -0.0115              0       null           null           null             0     null         null         null 
          1.615      null       0.179          0.0128         -0.0128              0       null           null           null             0     null         null         null 
           1.62      null       0.123          0.0093         -0.0093              0       null           null           null             0     null         null         null 
          1.624      null       0.119         0.00955        -0.00955              0       null           null           null             0     null         null         null 
          1.629      null      0.0951          0.0112         -0.0112              0       null           null           null             0     null         null         null 
